postcode,month,latitude,longitude,Shopping,Entertainment,Food,Fashion,Healthcare,Transportation,Utilities,Average_Age,Average_Income,Population_Size,Employment_Rate,Education_Level,Season,Consumer_Confidence,Market_Saturation,Age_Group,Gender,Mosaic_Type,Total_Spend,Sector,Sub-Sector,Online_Spend,Offline_Spend,Card_Type,Loyalty_Score,Savings_Rate,Credit_Utilization,Projected_Spend_Growth
AB10 1XG,Month_1,57.144165,-2.114848,3802.5899999999997,1827.0,3250.8,506.93999999999994,921.0,1073.0,3616.0,47,100823,6904,71.0,PhD,Winter,93.15,8,40-50,Male,C,16742.0,Healthcare,Health Services,8010.932883967942,7209.067116032058,Credit,0.9389506872238371,0.27138307909100573,0.6692789956585425,18824.8406849114
AB10 1XG,Month_2,57.144165,-2.114848,4608.049999999999,2434.7999999999997,2165.0,1471.8,2094.0,2891.0,1184.0,62,83979,22639,53.08,Bachelor's,Winter,83.78,5,<20,Female,D,15485.0,Healthcare,Groceries,3307.6467886890246,12177.353211310976,Credit,0.7131719011841395,0.46883816244339643,0.30448489494915343,17198.46565485317
AB10 1XG,Month_3,57.144165,-2.114848,1563.9999999999998,422.0,3879.0,1824.0,4044.3,487.0,4970.900000000001,67,80784,48545,80.97,Bachelor's,Spring,60.12,4,50-60,Male,D,16827.800000000003,Retail,Groceries,4487.782927193615,10810.217072806385,Debit,0.8447827648848181,0.44071494166012093,0.5376827358824702,18089.895006261453
AB10 1XG,Month_4,57.144165,-2.114848,1794.0,2083.2,1975.0,1998.7000000000003,2964.0,2607.15,3954.5000000000005,28,37737,35553,59.88,High School,Spring,65.45,5,<20,Male,D,16364.0,Transportation,Apparel,8290.929852177791,8073.070147822209,Debit,0.6348646417344201,0.45072202446446913,0.500176919183194,17673.81709680602
AB10 1XG,Month_5,57.144165,-2.114848,1874.4999999999998,1462.0,3039.0,1897.1999999999998,1508.0,465.0,2041.6000000000001,63,87226,40370,66.93,Bachelor's,Spring,94.69,6,50-60,Male,B,11193.0,Transportation,Groceries,3891.316645275335,7301.683354724665,Debit,0.6122915677674579,0.48473968492554736,0.49306508772687585,11798.73518852379
AB10 1XG,Month_6,57.144165,-2.114848,1467.3999999999999,4346.16,4977.0,2259.6,3460.0,544.0,2531.0,69,89199,13240,66.38,High School,Summer,65.11,6,40-50,Female,A,17776.0,Hospitality,Apparel,9497.917337633999,8278.082662366001,Debit,0.636565694764222,0.37392734032563,0.6926008686828202,19035.35189758195
AB10 1XG,Month_7,57.144165,-2.114848,3930.2400000000002,1611.792,3078.0,946.44,3678.0,1506.0,4242.0,21,81025,5179,53.62,Bachelor's,Summer,84.78,3,<20,Male,C,20189.4,Hospitality,Dining,10229.689739900305,8124.310260099695,Debit,0.8240470787916847,0.5242560658061484,0.47755544472055844,21828.425058270943
AB10 1XG,Month_8,57.144165,-2.114848,2586.2400000000002,3845.4,1222.0,577.0,3889.0,1332.0,2469.0,53,44069,17614,97.55,Bachelor's,Summer,68.24,9,20-30,Male,E,15546.0,Utilities,Apparel,7875.690891980709,7670.309108019291,Debit,0.7417910574342683,0.26631893246425964,0.4136401189602288,17558.83078120317
AB10 1XG,Month_9,57.144165,-2.114848,2138.0,2037.0,2827.0,2208.0,2606.0,1759.0,4876.0,27,77914,47601,77.35,PhD,Fall,98.42,3,20-30,Male,B,18163.0,Utilities,Electronics,3989.094911592864,14173.905088407137,Credit,0.7551739992541004,0.4279185173777532,0.4666768031584547,19775.385554379154
AB10 1XG,Month_10,57.144165,-2.114848,2669.0,1204.0,3313.0,625.0,3563.0,1552.95,5309.700000000001,51,31371,12990,57.81,High School,Fall,69.01,6,40-50,Male,E,17680.0,Transportation,Apparel,10155.678200473028,7524.3217995269715,Debit,0.7784358396251865,0.34613374844861966,0.40369756183201544,20259.65615656532
AB10 1XG,Month_11,57.144165,-2.114848,966.0,694.0,2881.25,1987.0,2805.0,1185.45,5031.400000000001,48,27314,18561,77.79,Bachelor's,Fall,74.47,7,40-50,Male,D,15906.000000000002,Retail,Dining,5552.2009926314895,8907.79900736851,Credit,0.8167029598860016,0.3203858632185224,0.5324764182234312,18269.100286017187
AB10 1XG,Month_12,57.144165,-2.114848,3050.1900000000005,2917.4399999999996,3127.25,809.6,3340.0,2584.05,2484.9,49,28835,49154,72.58,Bachelor's,Winter,90.95,9,<20,Male,B,14347.0,Transportation,Groceries,2937.8986742764655,11409.101325723535,Debit,0.7927166137800844,0.4755473344797889,0.4142633300907177,15704.192548195346
AB10 6RN,Month_1,57.13788,-2.121487,830.0,2016.0,3085.2000000000003,639.1999999999999,3996.0,2078.0,805.0,67,60260,43869,67.24,High School,Winter,86.32,1,20-30,Male,D,15295.500000000002,Hospitality,Apparel,4380.303609987021,9524.696390012978,Credit,0.9368089002345764,0.6479156986724534,0.3415208052307077,16900.776355369122
AB10 6RN,Month_2,57.13788,-2.121487,2279.2999999999997,1234.0,1555.0,441.59999999999997,3078.0,2514.0,2441.0,45,88185,9026,73.62,High School,Winter,72.86,7,20-30,Female,D,13172.0,Utilities,Apparel,5773.290954640601,7398.709045359399,Credit,0.794396387460854,0.5146248826623548,0.49290034971061036,14103.12215450244
